,Unnamed: 0,prompt,num_modifiers,num_phrases,item_indices,subjects
0,0,a skewered tomato and a furry sleepy frog and a brown metal wooden bowl,6,3,"[3, 8, 14]","['tomato', 'frog', 'metal', 'bowl']"
1,1,a lying angry programmer and a sliced tomato and a sleepy baby cat,5,3,"[4, 8, 13]","['programmer', 'tomato', 'baby', 'cat']"
2,2,a spiky spotted chair and an orange wooden spiky chair and an angry artist,6,3,"[4, 10, 14]","['chair', 'chair', 'artist']"
3,3,a purple apple and a furry elephant and a yellow skewered apple,4,3,"[3, 7, 12]","['apple', 'elephant', 'apple']"
4,4,a brown tomato and a metal skateboard and a middle-aged surprised programmer,4,3,"[3, 7, 12]","['tomato', 'metal', 'skateboard', 'programmer']"
5,5,a spotted mouse and a sliced strawberry and a skewered tomato,3,3,"[3, 7, 11]","['mouse', 'strawberry', 'tomato']"
6,6,a sliced banana and a green umbrella and a sliced apple,3,3,"[3, 7, 11]","['banana', 'umbrella', 'apple']"
7,7,a sad old artist and a purple wooden metal crown and a gray strawberry,6,3,"[4, 10, 14]","['artist', 'metal', 'crown', 'strawberry']"
8,8,a brown banana and a sitting person and a standing man,3,3,"[3, 7, 11]","['banana', 'person', 'man']"
9,9,an orange spiky umbrella and a baby furry rabbit and an old man,5,3,"[4, 9, 13]","['umbrella', 'baby', 'rabbit', 'man']"
10,10,a middle-aged artist and a sleepy furry horse and a middle-aged man,4,3,"[3, 8, 12]","['artist', 'horse', 'man']"
11,11,a baby sleepy lion and a red wooden umbrella and a blue sleepy frog,6,3,"[4, 9, 14]","['baby', 'lion', 'umbrella', 'frog']"
12,12,a beige sliced banana and an angry sitting woman and a pink skewered banana,6,3,"[4, 9, 14]","['banana', 'woman', 'banana']"
13,13,a purple shoe and a beige apple and a sitting programmer,3,3,"[3, 7, 11]","['shoe', 'apple', 'programmer']"
14,14,a brown spiky curved bicycle and a skewered apple and a white bowl,5,3,"[5, 9, 13]","['bicycle', 'apple', 'bowl']"
15,15,a curved chair and a furry lion and a sliced tomato,3,3,"[3, 7, 11]","['chair', 'lion', 'tomato']"
