,prompt,num_modifiers,num_phrases,item_indices,subjects
0,a yellow sleepy horse and a black elephant,3,2,"[4, 8]","['horse', 'elephant']"
1,a red metal bicycle and an orange skewered banana,4,2,"[4, 9]","['metal', 'bicycle', 'orange', 'banana']"
2,a spiky spotted umbrella and a baby dog,3,2,"[4, 8]","['umbrella', 'baby', 'dog']"
3,a sliced apple and a modern backpack,2,2,"[3, 7]","['apple', 'backpack']"
4,a beige banana and a spotted sleepy rabbit,3,2,"[3, 8]","['banana', 'rabbit']"
5,a pink checkered modern balloon and a sleepy athlete,4,2,"[5, 9]","['balloon', 'athlete']"
6,a skewered strawberry and an orange apple,2,2,"[3, 7]","['strawberry', 'orange', 'apple']"
7,a young sleepy athlete and a blue clock,3,2,"[4, 8]","['athlete', 'clock']"
8,a blue strawberry and a skewered tomato,2,2,"[3, 7]","['strawberry', 'tomato']"
9,a brown sliced tomato and a green spotted bear,4,2,"[4, 9]","['tomato', 'bear']"
10,a brown spotted sleepy bird and a sleepy spotted elephant,5,2,"[5, 10]","['bird', 'elephant']"
11,a red banana and a spotted bicycle,2,2,"[3, 7]","['banana', 'bicycle']"
12,an old programmer and a sitting young athlete,3,2,"[3, 8]","['programmer', 'athlete']"
13,a sleepy furry mouse and a spiky camera,3,2,"[4, 8]","['mouse', 'camera']"
14,a young sleepy athlete and a sliced banana,3,2,"[4, 8]","['athlete', 'banana']"
15,a purple umbrella and a furry panda,2,2,"[3, 7]","['umbrella', 'panda']"
16,a spotted guitar and a sliced tomato,2,2,"[3, 7]","['guitar', 'tomato']"
17,a middle-aged surprised programmer and a sliced strawberry,3,2,"[4, 8]","['programmer', 'strawberry']"
18,a teal frog and a spotted wooden shoe,3,2,"[3, 8]","['frog', 'shoe']"
19,a pink furry frog and a brown strawberry,3,2,"[4, 8]","['frog', 'strawberry']"
20,an angry sitting woman and a young sad woman,4,2,"[4, 9]","['woman', 'woman']"
21,a black spotted camera and a furry bear,3,2,"[4, 8]","['camera', 'bear']"
