prompt,num_modifiers,num_phrases,item_indices,subjects
a gray spiky curved skateboard and a red baby sleepy rabbit and a teal skewered apple,8,3,"[5, 11, 16]","['skateboard', 'baby', 'rabbit', 'teal', 'apple']"
a modern spotted balloon and a happy man and a sliced apple,4,3,"[4, 8, 12]","['balloon', 'man', 'apple']"
a yellow umbrella and a standing woman and a brown horse,3,3,"[3, 7, 11]","['umbrella', 'woman', 'horse']"
a furry dog and a black penguin and a gray checkered metal guitar,5,3,"[3, 7, 13]","['dog', 'penguin', 'metal', 'guitar']"
a sliced tomato and a yellow rabbit and a brown baby horse,4,3,"[3, 7, 12]","['tomato', 'rabbit', 'baby', 'horse']"
a furry spotted turtle and a sleepy furry lion and a sleepy furry zebra,6,3,"[4, 9, 14]","['turtle', 'lion', 'zebra']"
a happy standing person and a middle-aged lying artist and a gray spotted monkey,6,3,"[4, 9, 14]","['person', 'artist', 'monkey']"
a standing surprised artist and a teal sliced banana and a yellow frog,5,3,"[4, 9, 13]","['artist', 'teal', 'banana', 'frog']"
an angry man and a sitting sad woman and a yellow sleepy cat,5,3,"[3, 8, 13]","['man', 'woman', 'cat']"
a black bear and a skewered strawberry and a black spiky metal car,5,3,"[3, 7, 13]","['bear', 'strawberry', 'metal', 'car']"
a blue spotted horse and a gray spotted spiky suitcase and a gray skewered strawberry,7,3,"[4, 10, 15]","['horse', 'suitcase', 'strawberry']"
a sleepy horse and a wooden umbrella and a purple skewered strawberry,4,3,"[3, 7, 12]","['horse', 'umbrella', 'strawberry']"
a blue tomato and a metal backpack and a purple banana,3,3,"[3, 7, 11]","['tomato', 'metal', 'backpack', 'banana']"
a teal bear and a lying adolescent man and a sad person,4,3,"[3, 8, 12]","['bear', 'man', 'person']"
a baby lion and a surprised person and a baby penguin,3,3,"[3, 7, 11]","['baby', 'lion', 'person', 'baby', 'penguin']"
a spiky modern crown and a sliced apple and a middle-aged sitting programmer,5,3,"[4, 8, 13]","['crown', 'apple', 'programmer']"
a checkered curved bicycle and a lying happy athlete and an orange balloon,5,3,"[4, 9, 13]","['bicycle', 'athlete', 'orange', 'balloon']"
a wooden surfboard and a middle-aged surprised woman and a metal curved car,5,3,"[3, 8, 13]","['surfboard', 'woman', 'metal', 'car']"
a teal curved wooden bicycle and a sleepy gorilla and a baby dog,5,3,"[5, 9, 13]","['bicycle', 'gorilla', 'baby', 'dog']"
a sleepy lion and a green apple and a yellow sleepy bear,4,3,"[3, 7, 12]","['lion', 'apple', 'bear']"
a lying programmer and an angry programmer and a standing man,3,3,"[3, 7, 11]","['programmer', 'programmer', 'man']"
a spotted hat and a pink bird and a happy standing programmer,4,3,"[3, 7, 12]","['hat', 'bird', 'programmer']"
a metal wooden bowl and a black banana and a skewered tomato,4,3,"[4, 8, 12]","['bowl', 'banana', 'tomato']"
a wooden surfboard and a happy woman and a gray spotted sleepy gorilla,5,3,"[3, 7, 13]","['surfboard', 'woman', 'gorilla']"
a happy sitting woman and a spiky bench and a gray modern suitcase,5,3,"[4, 8, 13]","['woman', 'bench', 'suitcase']"
a blue banana and a spotted metal surfboard and a brown wooden modern bow,6,3,"[3, 8, 14]","['banana', 'metal', 'surfboard', 'bow']"
an adolescent sad artist and a standing man and a skewered strawberry,4,3,"[4, 8, 12]","['artist', 'man', 'strawberry']"
an old angry man and a sleepy horse and a baby gorilla,4,3,"[4, 8, 12]","['man', 'horse', 'baby', 'gorilla']"
a lying sad programmer and a middle-aged man and a green curved skateboard,5,3,"[4, 8, 13]","['programmer', 'man', 'skateboard']"
a modern spiky balloon and an angry artist and a sleepy programmer,4,3,"[4, 8, 12]","['balloon', 'artist', 'programmer']"
a spiky skateboard and a gray spotted bird and a sleepy cat,4,3,"[3, 8, 12]","['skateboard', 'bird', 'cat']"
a blue sleepy spotted zebra and a white sliced strawberry and a sliced strawberry,6,3,"[5, 10, 14]","['zebra', 'strawberry', 'strawberry']"
a brown frog and a red skewered banana and a checkered metal hat,5,3,"[3, 8, 13]","['frog', 'banana', 'metal', 'hat']"
a standing athlete and a beige monkey and a skewered apple,3,3,"[3, 7, 11]","['athlete', 'monkey', 'apple']"
a spiky modern skateboard and a skewered tomato and a teal strawberry,4,3,"[4, 8, 12]","['skateboard', 'tomato', 'strawberry']"
a young sitting woman and a spotted metal surfboard and a modern checkered car,6,3,"[4, 9, 14]","['woman', 'metal', 'surfboard', 'car']"
an old man and a white baby cat and a spotted sleepy gorilla,5,3,"[3, 8, 13]","['man', 'baby', 'cat', 'gorilla']"
a baby zebra and a happy adolescent woman and a purple banana,4,3,"[3, 8, 12]","['baby', 'zebra', 'woman', 'banana']"
an adolescent standing athlete and an old woman and a gray baby spotted penguin,6,3,"[4, 8, 14]","['athlete', 'woman', 'baby', 'penguin']"
a curved metal skateboard and a spiky wooden crown and a furry spotted monkey,6,3,"[4, 9, 14]","['metal', 'skateboard', 'crown', 'monkey']"
a sitting young person and a curved metal balloon and a curved metal shoe,6,3,"[4, 9, 14]","['person', 'metal', 'balloon', 'metal', 'shoe']"
a surprised athlete and a skewered banana and a sad woman,3,3,"[3, 7, 11]","['athlete', 'banana', 'woman']"
a furry spotted horse and a modern bench and a baby furry rabbit,5,3,"[4, 8, 13]","['horse', 'bench', 'baby', 'rabbit']"
a spotted turtle and a skewered apple and a red banana,3,3,"[3, 7, 11]","['turtle', 'apple', 'banana']"
a spiky metal bowl and a gray tomato and a spotted furry elephant,5,3,"[4, 8, 13]","['metal', 'bowl', 'tomato', 'elephant']"
an old happy woman and an angry standing person and an angry lying artist,6,3,"[4, 9, 14]","['woman', 'person', 'artist']"
a young lying man and a young sitting man and a skewered strawberry,5,3,"[4, 9, 13]","['man', 'man', 'strawberry']"
a standing man and a green sleepy elephant and a wooden bowl,4,3,"[3, 8, 12]","['man', 'elephant', 'bowl']"
a sliced banana and an orange spiky curved balloon and a pink sleepy frog,6,3,"[3, 9, 14]","['banana', 'balloon', 'frog']"
a standing athlete and a young lying person and a brown sliced apple,5,3,"[3, 8, 13]","['athlete', 'person', 'apple']"
a lying person and a sleepy cat and a gray sliced tomato,4,3,"[3, 7, 12]","['person', 'cat', 'tomato']"
a black apple and a standing sad man and a sleepy furry elephant,5,3,"[3, 8, 13]","['apple', 'man', 'elephant']"
