prompt,num_modifiers,num_phrases,item_indices,subjects
a sleepy panda and a wooden balloon and a skewered tomato,3,3,"[3, 7, 11]","['panda', 'balloon', 'tomato']"
a spotted frog and a skewered banana and a furry penguin,3,3,"[3, 7, 11]","['frog', 'banana', 'penguin']"
a lying artist and a checkered clock and a young man,3,3,"[3, 7, 11]","['artist', 'clock', 'man']"
a skewered banana and a surprised woman and a beige camera,3,3,"[3, 7, 11]","['banana', 'woman', 'camera']"
an angry artist and a wooden backpack and a furry mouse,3,3,"[3, 7, 11]","['artist', 'backpack', 'mouse']"
a surprised athlete and a baby rabbit and a curved shoe,3,3,"[3, 7, 11]","['athlete', 'baby', 'rabbit', 'shoe']"
a blue bench and a pink banana and a green apple,3,3,"[3, 7, 11]","['bench', 'banana', 'apple']"
a sliced banana and a happy artist and a skewered apple,3,3,"[3, 7, 11]","['banana', 'artist', 'apple']"
an angry person and an old artist and a sleepy artist,3,3,"[3, 7, 11]","['person', 'artist', 'artist']"
a sliced strawberry and a sitting woman and a blue tomato,3,3,"[3, 7, 11]","['strawberry', 'woman', 'tomato']"
a spiky chair and a checkered camera and a baby penguin,3,3,"[3, 7, 11]","['chair', 'camera', 'baby', 'penguin']"
a skewered strawberry and a skewered apple and a brown apple,3,3,"[3, 7, 11]","['strawberry', 'apple', 'apple']"
a yellow banana and a sliced strawberry and an angry woman,3,3,"[3, 7, 11]","['banana', 'strawberry', 'woman']"
a red shoe and a beige banana and a black surfboard,3,3,"[3, 7, 11]","['shoe', 'banana', 'surfboard']"
a lying athlete and a blue guitar and an old man,3,3,"[3, 7, 11]","['athlete', 'guitar', 'man']"
a spotted balloon and a spiky surfboard and an angry woman,3,3,"[3, 7, 11]","['balloon', 'surfboard', 'woman']"
a modern car and a sad programmer and a curved balloon,3,3,"[3, 7, 11]","['car', 'programmer', 'balloon']"
a sliced tomato and a happy person and a brown panda,3,3,"[3, 7, 11]","['tomato', 'person', 'panda']"
a skewered tomato and a white shoe and a curved camera,3,3,"[3, 7, 11]","['tomato', 'shoe', 'camera']"
