prompt,num_modifiers,num_phrases,item_indices,subjects
a skewered banana and a furry frog,2,2,"[3, 6]","['banana', 'frog']"
a middle-aged person and a gray horse,2,2,"[3, 6]","['person', 'horse']"
a skewered tomato and a sliced apple,2,2,"[3, 6]","['tomato', 'apple']"
a skewered banana and a baby mouse,2,2,"[3, 6]","['banana', 'baby', 'mouse']"
a blue dog and a sliced tomato,2,2,"[3, 6]","['dog', 'tomato']"
a beige tomato and a furry lion,2,2,"[3, 6]","['tomato', 'lion']"
a young man and a teal strawberry,2,2,"[3, 6]","['man', 'strawberry']"
a gray bird and a beige guitar,2,2,"[3, 6]","['bird', 'guitar']"
a sad person and a spotted lion,2,2,"[3, 6]","['person', 'lion']"
a baby rabbit and a sliced strawberry,2,2,"[3, 6]","['baby', 'rabbit', 'strawberry']"
a middle-aged programmer and a spotted turtle,2,2,"[3, 6]","['programmer', 'turtle']"
a gray horse and a lying programmer,2,2,"[3, 6]","['horse', 'programmer']"
an angry programmer and a sliced tomato,2,2,"[3, 6]","['programmer', 'tomato']"
an adolescent man and a teal tomato,2,2,"[3, 6]","['man', 'tomato']"
a sleepy penguin and a white horse,2,2,"[3, 6]","['penguin', 'horse']"
a furry dog and an old person,2,2,"[3, 6]","['dog', 'person']"
a beige mouse and a furry panda,2,2,"[3, 6]","['mouse', 'panda']"
a sitting programmer and a furry bird,2,2,"[3, 6]","['programmer', 'bird']"
a skewered tomato and a sitting programmer,2,2,"[3, 6]","['tomato', 'programmer']"
a checkered clock and a surprised person,2,2,"[3, 6]","['clock', 'person']"
a sliced strawberry and a blue car,2,2,"[3, 6]","['strawberry', 'car']"
a skewered strawberry and a skewered tomato,2,2,"[3, 6]","['strawberry', 'tomato']"
a spotted frog and a beige banana,2,2,"[3, 6]","['frog', 'banana']"
a metal umbrella and a sad person,2,2,"[3, 6]","['metal', 'umbrella', 'person']"
a surprised person and a sliced banana,2,2,"[3, 6]","['person', 'banana']"
a lying artist and a sad man,2,2,"[3, 6]","['artist', 'man']"
a spotted cat and a brown monkey,2,2,"[3, 6]","['cat', 'monkey']"
a happy man and a sad programmer,2,2,"[3, 6]","['man', 'programmer']"
a gray turtle and a red apple,2,2,"[3, 6]","['turtle', 'apple']"
a sad man and a purple surfboard,2,2,"[3, 6]","['man', 'surfboard']"
a purple balloon and a sliced banana,2,2,"[3, 6]","['balloon', 'banana']"
a lying artist and a black suitcase,2,2,"[3, 6]","['artist', 'suitcase']"
a checkered clock and a skewered apple,2,2,"[3, 6]","['clock', 'apple']"
a purple backpack and a yellow banana,2,2,"[3, 6]","['backpack', 'banana']"
a surprised programmer and a baby bear,2,2,"[3, 6]","['programmer', 'baby', 'bear']"
a purple guitar and a checkered crown,2,2,"[3, 6]","['guitar', 'crown']"
a white camera and a baby zebra,2,2,"[3, 6]","['camera', 'baby', 'zebra']"
a yellow lion and a spotted penguin,2,2,"[3, 6]","['lion', 'penguin']"
a teal elephant and a spotted lion,2,2,"[3, 6]","['elephant', 'lion']"
a spotted dog and a metal camera,2,2,"[3, 6]","['dog', 'metal', 'camera']"
a metal skateboard and a white lion,2,2,"[3, 6]","['metal', 'skateboard', 'lion']"
a sliced tomato and a baby bird,2,2,"[3, 6]","['tomato', 'baby', 'bird']"
an old programmer and a furry zebra,2,2,"[3, 6]","['programmer', 'zebra']"
a young person and a surprised athlete,2,2,"[3, 6]","['person', 'athlete']"
an old woman and an orange penguin,2,2,"[3, 6]","['woman', 'orange', 'penguin']"
a young athlete and a yellow banana,2,2,"[3, 6]","['athlete', 'banana']"
a middle-aged athlete and a white surfboard,2,2,"[3, 6]","['athlete', 'surfboard']"
a sliced banana and a furry monkey,2,2,"[3, 6]","['banana', 'monkey']"
a sliced tomato and a skewered banana,2,2,"[3, 6]","['tomato', 'banana']"
a sleepy bear and a sad woman,2,2,"[3, 6]","['bear', 'woman']"
a lying programmer and a yellow crown,2,2,"[3, 6]","['programmer', 'crown']"
a sleepy gorilla and a standing athlete,2,2,"[3, 6]","['gorilla', 'athlete']"
a checkered crown and a sitting artist,2,2,"[3, 6]","['crown', 'artist']"
a young person and a pink guitar,2,2,"[3, 6]","['person', 'guitar']"
a sliced banana and an adolescent athlete,2,2,"[3, 6]","['banana', 'athlete']"
an old programmer and a red strawberry,2,2,"[3, 6]","['programmer', 'strawberry']"
a checkered skateboard and a lying man,2,2,"[3, 6]","['skateboard', 'man']"
a modern bow and a sleepy bear,2,2,"[3, 6]","['bow', 'bear']"
a sleepy person and a checkered chair,2,2,"[3, 6]","['person', 'chair']"
